scientificName,vernacularName,class_display,order,decimalLatitude,decimalLongitude,eventDate,dataResourceName,at_risk_status,is_at_risk
Wallabia bicolor,Swamp Wallaby,Mammalia – other,Diprotodontia,-36.558725,149.397146,1994-08-30 00:00:00,NSW BioNet Atlas,,False
Vombatus ursinus,Bare-nosed Wombat,Mammalia – other,Diprotodontia,-36.55083,149.413211,1994-09-05 00:00:00,NSW BioNet Atlas,,False
Trichosurus vulpecula,Common Brushtail Possum,Mammalia – other,Diprotodontia,-36.551218,149.420707,1900-01-01 00:00:00,NSW BioNet Atlas,,False
Vulpes vulpes,Fox,Mammalia – other,Carnivora,-36.555516,149.397605,1994-08-30 00:00:00,NSW BioNet Atlas,,False
Wallabia bicolor,Swamp Wallaby,Mammalia – other,Diprotodontia,-36.549027,149.413211,1994-09-05 00:00:00,NSW BioNet Atlas,,False
Vombatus ursinus,Bare-nosed Wombat,Mammalia – other,Diprotodontia,-36.555516,149.397605,1994-08-30 00:00:00,NSW BioNet Atlas,,False
Petauroides volans,Southern Greater Glider,Mammalia – other,Diprotodontia,-36.554421,149.396007,1994-08-30 00:00:00,NSW BioNet Atlas,,False
Petauroides volans,Southern Greater Glider,Mammalia – other,Diprotodontia,-36.545974,149.417081,1994-09-05 00:00:00,NSW BioNet Atlas,,False
Petauroides volans,Southern Greater Glider,Mammalia – other,Diprotodontia,-36.553161,149.410281,2025-12-26 00:00:00,NSW BioNet Atlas,,False
Wallabia bicolor,Swamp Wallaby,Mammalia – other,Diprotodontia,-36.549934,149.41296,1994-09-05 00:00:00,NSW BioNet Atlas,,False
Macropus giganteus,Eastern Grey Kangaroo,Mammalia – other,Diprotodontia,-36.560472,149.402115,1994-08-30 00:00:00,NSW BioNet Atlas,,False
Wallabia bicolor,Swamp Wallaby,Mammalia – other,Diprotodontia,-36.555516,149.397605,1994-08-30 00:00:00,NSW BioNet Atlas,,False
Petauroides volans,Southern Greater Glider,Mammalia – other,Diprotodontia,-36.556152,149.420409,2025-01-08 00:00:00,NSW BioNet Atlas,,False
Menura (Menura) novaehollandiae,Superb Lyrebird,Aves,Passeriformes,-36.555044,149.44154,2024-12-19 00:00:00,NSW BioNet Atlas,,False
Petauroides volans,Southern Greater Glider,Mammalia – other,Diprotodontia,-36.554874,149.402612,1994-09-05 00:00:00,NSW BioNet Atlas,,False
Wallabia bicolor,Swamp Wallaby,Mammalia – other,Diprotodontia,-36.545974,149.417081,1994-09-05 00:00:00,NSW BioNet Atlas,,False
Petauroides volans,Southern Greater Glider,Mammalia – other,Diprotodontia,-36.555516,149.397605,1994-08-30 00:00:00,NSW BioNet Atlas,,False
Vombatus ursinus,Bare-nosed Wombat,Mammalia – other,Diprotodontia,-36.549934,149.41296,1994-09-05 00:00:00,NSW BioNet Atlas,,False
Petauroides volans,Southern Greater Glider,Mammalia – other,Diprotodontia,-36.557951,149.398836,2026-01-02 00:00:00,NSW BioNet Atlas,,False
Petauroides volans,Southern Greater Glider,Mammalia – other,Diprotodontia,-36.551466,149.419598,1994-06-06 00:00:00,NSW BioNet Atlas,,False
Vombatus ursinus,Bare-nosed Wombat,Mammalia – other,Diprotodontia,-36.549934,149.41296,1994-09-05 00:00:00,NSW BioNet Atlas,,False
Macropus giganteus,Eastern Grey Kangaroo,Mammalia – other,Diprotodontia,-36.55868,149.397144,1994-08-30 00:00:00,NSW BioNet Atlas,,False
Wallabia bicolor,Swamp Wallaby,Mammalia – other,Diprotodontia,-36.554874,149.402612,1994-09-05 00:00:00,NSW BioNet Atlas,,False
Petauroides volans,Southern Greater Glider,Mammalia – other,Diprotodontia,-36.561686,149.423418,2026-01-05 00:00:00,NSW BioNet Atlas,,False
Wallabia bicolor,Swamp Wallaby,Mammalia – other,Diprotodontia,-36.558725,149.397146,1994-08-30 00:00:00,NSW BioNet Atlas,,False
Macropus giganteus,Eastern Grey Kangaroo,Mammalia – other,Diprotodontia,-36.55083,149.413211,1994-09-05 00:00:00,NSW BioNet Atlas,,False
Petauroides volans,Southern Greater Glider,Mammalia – other,Diprotodontia,-36.548322,149.419278,2026-01-07 00:00:00,NSW BioNet Atlas,,False
Vombatus ursinus,Bare-nosed Wombat,Mammalia – other,Diprotodontia,-36.55083,149.413211,1994-09-05 00:00:00,NSW BioNet Atlas,,False
Macropus giganteus,Eastern Grey Kangaroo,Mammalia – other,Diprotodontia,-36.55868,149.397144,1994-08-30 00:00:00,NSW BioNet Atlas,,False
Trichosurus vulpecula,Common Brushtail Possum,Mammalia – other,Diprotodontia,-36.560644,149.440218,2003-09-17 00:00:00,NSW BioNet Atlas,,False
Wallabia bicolor,Swamp Wallaby,Mammalia – other,Diprotodontia,-36.549027,149.413211,1994-09-05 00:00:00,NSW BioNet Atlas,,False
Wallabia bicolor,Swamp Wallaby,Mammalia – other,Diprotodontia,-36.560472,149.402115,1994-08-30 00:00:00,NSW BioNet Atlas,,False
Wallabia bicolor,Swamp Wallaby,Mammalia – other,Diprotodontia,-36.553674,149.401793,1994-09-05 00:00:00,NSW BioNet Atlas,,False
Wallabia bicolor,Swamp Wallaby,Mammalia – other,Diprotodontia,-36.545974,149.417081,1994-09-05 00:00:00,NSW BioNet Atlas,,False
Petauroides volans,Southern Greater Glider,Mammalia – other,Diprotodontia,-36.554841,149.410546,2025-12-25 00:00:00,NSW BioNet Atlas,,False
Macropus giganteus,Eastern Grey Kangaroo,Mammalia – other,Diprotodontia,-36.55083,149.413211,1994-09-05 00:00:00,NSW BioNet Atlas,,False
Vombatus ursinus,Bare-nosed Wombat,Mammalia – other,Diprotodontia,-36.554874,149.402612,1994-09-05 00:00:00,NSW BioNet Atlas,,False
Wallabia bicolor,Swamp Wallaby,Mammalia – other,Diprotodontia,-36.545974,149.417081,1994-09-05 00:00:00,NSW BioNet Atlas,,False
Vombatus ursinus,Bare-nosed Wombat,Mammalia – other,Diprotodontia,-36.553674,149.401793,1994-09-05 00:00:00,NSW BioNet Atlas,,False
Dacelo (Dacelo) novaeguineae,Laughing Kookaburra,Aves,Coraciiformes,-36.558961,149.432177,2008-02-11 00:00:00,NSW BioNet Atlas,,False
Wallabia bicolor,Swamp Wallaby,Mammalia – other,Diprotodontia,-36.554874,149.402612,1994-09-05 00:00:00,NSW BioNet Atlas,,False
Vombatus ursinus,Bare-nosed Wombat,Mammalia – other,Diprotodontia,-36.554454,149.396623,1994-09-05 00:00:00,NSW BioNet Atlas,,False
Petauroides volans,Southern Greater Glider,Mammalia – other,Diprotodontia,-36.551218,149.420707,1994-08-15 00:00:00,NSW BioNet Atlas,,False
Vombatus ursinus,Bare-nosed Wombat,Mammalia – other,Diprotodontia,-36.55083,149.413211,1994-09-05 00:00:00,NSW BioNet Atlas,,False
Oryctolagus cuniculus,Rabbit,Mammalia – other,Lagomorpha,-36.556917,149.404128,1994-09-05 00:00:00,NSW BioNet Atlas,,False
Wallabia bicolor,Swamp Wallaby,Mammalia – other,Diprotodontia,-36.545974,149.417081,1994-09-05 00:00:00,NSW BioNet Atlas,,False
Vulpes vulpes,Fox,Mammalia – other,Carnivora,-36.555516,149.397605,1994-08-30 00:00:00,NSW BioNet Atlas,,False
Wallabia bicolor,Swamp Wallaby,Mammalia – other,Diprotodontia,-36.551218,149.420707,1994-08-15 00:00:00,NSW BioNet Atlas,,False
Petauroides volans,Southern Greater Glider,Mammalia – other,Diprotodontia,-36.549027,149.413211,1994-09-05 00:00:00,NSW BioNet Atlas,,False
Vombatus ursinus,Bare-nosed Wombat,Mammalia – other,Diprotodontia,-36.554454,149.396623,1994-09-05 00:00:00,NSW BioNet Atlas,,False
Vombatus ursinus,Bare-nosed Wombat,Mammalia – other,Diprotodontia,-36.556637,149.397863,1994-08-30 00:00:00,NSW BioNet Atlas,,False
Vombatus ursinus,Bare-nosed Wombat,Mammalia – other,Diprotodontia,-36.55083,149.413211,1994-09-05 00:00:00,NSW BioNet Atlas,,False
Vulpes vulpes,Fox,Mammalia – other,Carnivora,-36.555516,149.397605,1994-08-30 00:00:00,NSW BioNet Atlas,,False
Vombatus ursinus,Bare-nosed Wombat,Mammalia – other,Diprotodontia,-36.553674,149.401793,1994-09-05 00:00:00,NSW BioNet Atlas,,False
Petauroides volans,Southern Greater Glider,Mammalia – other,Diprotodontia,-36.556917,149.404128,1994-09-05 00:00:00,NSW BioNet Atlas,,False
Vombatus ursinus,Bare-nosed Wombat,Mammalia – other,Diprotodontia,-36.554421,149.396007,1994-08-30 00:00:00,NSW BioNet Atlas,,False
Petauroides volans,Southern Greater Glider,Mammalia – other,Diprotodontia,-36.55652,149.42741,2024-12-18 00:00:00,NSW BioNet Atlas,,False
Petauroides volans,Southern Greater Glider,Mammalia – other,Diprotodontia,-36.554454,149.396623,1994-09-05 00:00:00,NSW BioNet Atlas,,False
Trichosurus vulpecula,Common Brushtail Possum,Mammalia – other,Diprotodontia,-36.556637,149.397863,1994-08-30 00:00:00,NSW BioNet Atlas,,False
Vombatus ursinus,Bare-nosed Wombat,Mammalia – other,Diprotodontia,-36.554454,149.396623,1994-09-05 00:00:00,NSW BioNet Atlas,,False
Wallabia bicolor,Swamp Wallaby,Mammalia – other,Diprotodontia,-36.554874,149.402612,1994-09-05 00:00:00,NSW BioNet Atlas,,False
Petauroides volans,Southern Greater Glider,Mammalia – other,Diprotodontia,-36.557703,149.437331,2025-09-19 00:00:00,NSW BioNet Atlas,,False
Vombatus ursinus,Bare-nosed Wombat,Mammalia – other,Diprotodontia,-36.553674,149.401793,1900-01-01 00:00:00,NSW BioNet Atlas,,False
Petauroides volans,Southern Greater Glider,Mammalia – other,Diprotodontia,-36.554421,149.396007,1994-08-30 00:00:00,NSW BioNet Atlas,,False
Vombatus ursinus,Bare-nosed Wombat,Mammalia – other,Diprotodontia,-36.549027,149.413211,1994-09-05 00:00:00,NSW BioNet Atlas,,False
Petauroides volans,Southern Greater Glider,Mammalia – other,Diprotodontia,-36.560472,149.402115,1994-08-30 00:00:00,NSW BioNet Atlas,,False
Vombatus ursinus,Bare-nosed Wombat,Mammalia – other,Diprotodontia,-36.556637,149.397863,1994-08-30 00:00:00,NSW BioNet Atlas,,False
Petauroides volans,Southern Greater Glider,Mammalia – other,Diprotodontia,-36.545974,149.417081,1994-09-05 00:00:00,NSW BioNet Atlas,,False
Petauroides volans,Southern Greater Glider,Mammalia – other,Diprotodontia,-36.554874,149.402612,1994-09-05 00:00:00,NSW BioNet Atlas,,False
Wallabia bicolor,Swamp Wallaby,Mammalia – other,Diprotodontia,-36.554874,149.402612,1994-09-05 00:00:00,NSW BioNet Atlas,,False
