scientificName,vernacularName,kingdom,phylum,class,order,family,genus,eventDate,year,month,day,decimalLatitude,decimalLongitude,dataResourceName,dataGeneralizations,habitat,occurrenceRemarks,basisOfRecord,individualCount,class_display,class_description,at_risk_status,habitat_type
Euloxia meandraria,Two-lined Emerald,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Euloxia,2026-01-04 12:13:49,2026.0,1.0,4.0,-36.550668,149.405325,iNaturalist Australia,,,,HUMAN_OBSERVATION,,Insecta,insects,,
Sericornis (Sericornis) frontalis,White-browed Scrubwren,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Sericornis,2025-12-20 14:03:00,2025.0,12.0,20.0,-36.550987,149.399522,iNaturalist Australia,,,,HUMAN_OBSERVATION,,Aves,birds,,
Hemicordulia tau,Tau Emerald,Animalia,Arthropoda,Insecta,Odonata,Corduliidae,Hemicordulia,2025-12-23 15:11:00,2025.0,12.0,23.0,-36.55436,149.395873,iNaturalist Australia,,,,HUMAN_OBSERVATION,,Insecta,insects,,
TETRAGNATHIDAE,,Animalia,Arthropoda,Arachnida,Araneae,Tetragnathidae,,2024-01-12 22:28:23,2024.0,1.0,12.0,-36.555876,149.394402,iNaturalist Australia,,,,HUMAN_OBSERVATION,,Arachnida,spiders,,
Colluricincla (Colluricincla) harmonica,Grey Shrike-thrush,Animalia,Chordata,Aves,Passeriformes,Pachycephalidae,Colluricincla,2025-12-23 13:56:00,2025.0,12.0,23.0,-36.552253,149.421127,iNaturalist Australia,,,i think?,HUMAN_OBSERVATION,,Aves,birds,,
Pasma tasmanica,Tasmanica Skipper,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Pasma,2025-12-14 11:03:00,2025.0,12.0,14.0,-36.552712,149.397675,iNaturalist Australia,,,lots about here (though it is set to be logged in a couple weeks :( ),HUMAN_OBSERVATION,,Insecta,insects,,
Oreixenica orichora,Orichora Brown,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Oreixenica,2025-12-16 13:49:00,2025.0,12.0,16.0,-36.550572,149.400222,iNaturalist Australia,,,,HUMAN_OBSERVATION,,Insecta,insects,,
Acanthiza (Subacanthiza) lineata,Striated Thornbill,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,2025-12-14 11:08:00,2025.0,12.0,14.0,-36.553165,149.396775,iNaturalist Australia,,,,HUMAN_OBSERVATION,,Aves,birds,,
Crinia signifera,Common Eastern Froglet,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Crinia,2025-12-20 13:36:00,2025.0,12.0,20.0,-36.552794,149.416935,iNaturalist Australia,,,,HUMAN_OBSERVATION,,Amphibia,frogs,,
Ptilonorhynchus violaceus,Satin Bowerbird,Animalia,Chordata,Aves,Passeriformes,Ptilonorhynchidae,Ptilonorhynchus,2025-12-14 11:23:00,2025.0,12.0,14.0,-36.554703,149.397247,iNaturalist Australia,,,,HUMAN_OBSERVATION,,Aves,birds,,
