scientificName,vernacularName,class,order,family,eventDate
Felis catus,Cat,Mammalia,Carnivora,Felidae,1/01/1900
Felis catus,Cat,Mammalia,Carnivora,Felidae,30/08/1994
Felis catus,Cat,Mammalia,Carnivora,Felidae,30/08/1994
Felis catus,Cat,Mammalia,Carnivora,Felidae,30/08/1994
Felis catus,Cat,Mammalia,Carnivora,Felidae,30/08/1994
Felis catus,Cat,Mammalia,Carnivora,Felidae,30/08/1994
Felis catus,Cat,Mammalia,Carnivora,Felidae,30/08/1994
Felis catus,Cat,Mammalia,Carnivora,Felidae,30/08/1994
Felis catus,Cat,Mammalia,Carnivora,Felidae,30/08/1994
Felis catus,Cat,Mammalia,Carnivora,Felidae,30/08/1994
Vulpes vulpes,Fox,Mammalia,Carnivora,Canidae,1/01/1900
Vulpes vulpes,Fox,Mammalia,Carnivora,Canidae,30/08/1994
Vulpes vulpes,Fox,Mammalia,Carnivora,Canidae,30/08/1994
Vulpes vulpes,Fox,Mammalia,Carnivora,Canidae,30/08/1994
Vulpes vulpes,Fox,Mammalia,Carnivora,Canidae,30/08/1994
Vulpes vulpes,Fox,Mammalia,Carnivora,Canidae,30/08/1994
Vulpes vulpes,Fox,Mammalia,Carnivora,Canidae,30/08/1994
Vulpes vulpes,Fox,Mammalia,Carnivora,Canidae,30/08/1994
Vulpes vulpes,Fox,Mammalia,Carnivora,Canidae,30/08/1994
Vulpes vulpes,Fox,Mammalia,Carnivora,Canidae,30/08/1994
Vulpes vulpes,Fox,Mammalia,Carnivora,Canidae,11/03/2014
Nyctophilus geoffroyi,Lesser Long-eared Bat,Mammalia,Chiroptera,Vespertilionidae,13/02/2008
Nyctophilus geoffroyi,Lesser Long-eared Bat,Mammalia,Chiroptera,Vespertilionidae,13/02/2008
Vespadelus vulturnus,Little Forest Bat,Mammalia,Chiroptera,Vespertilionidae,13/02/2008
Vespadelus vulturnus,Little Forest Bat,Mammalia,Chiroptera,Vespertilionidae,13/02/2008
